a-replyID,type,label,text,data
r13005,postback,看那裡,Silas你看那裡！,2
r13006,postback,跑,欸欸欸蜂鳥你等等——,1
r13007,postback,追,（向蜂鳥追過去）,2
r13100,postback,伸手拿,那我拿囉？,1
r13101,postback,看著水晶,又找到水晶了，太好了！,2
r14000,postback,備受感動,這真的太感人了，我想要盡我所能，去保存這一切！,1
r14001,postback,鬥志煥發,我一定會更努力地尋找綠水晶，來拯救此領地！,2
r14002,postback,更仔細聽,難道，Siren 歌聲的背後有什麼線索？,1
r14003,postback,置之不理,不行，我不能再聽下去了，我需要積極去尋找綠水晶！,2
r14200,postback,保持清醒,晃了晃頭，想要讓自己更專注地再聽一次。,1
r14201,postback,全力以赴,我沒有再錯的機會了！這次一定要答對！,2
r14300,postback,疑惑,剛剛發生了什麼事情？,1
r14301,postback,無奈,唉，我怎麼沒好好把握機會呢？,2
r15000,postback,快救人,Silas 你別急，我先救了你再說！,1
r15001,postback,搶水晶,Silas 我等會兒再救你，我先把水晶拿到手！,2
r15002,postback,一較高下,好吧，就以我的聰明才智來與你定勝負吧！,1
r15003,postback,好言相勸,Gremlin，有話好好說，你先把 Silas 放出來吧！,2
r15100,postback,志得意滿,有我在，一切困難將迎刃而解！,1
r15101,postback,謙虛低調,不不，這是一個相對簡單的魔咒，僥倖而已。,2
r15200,postback,不是,當然不是！再給我一次機會！,1
r15201,postback,對不起,Silas 抱歉，我再試一次！,2
r15300,postback,很傷心,嗚嗚嗚，是我不夠好……,1
r15301,postback,很抱歉,"抱歉 Silas, 我沒有拿到綠水晶……",2
r16000,postback,敲打磚頭,這五塊磚頭看起來有點鬆，我試著敲敲看好了。,1
r16001,postback,小聲詢問,您好，請問有人在家嗎？,2
r16002,postback,出聲安慰,別哭，別哭，慢慢跟我說，發生了什麼事？,1
r16003,postback,耐心詢問,小妹妹你好，我是勇者，你怎麼了？,2
r16100,postback,沒問題,包在我身上！,1
r16101,postback,當然可以,這就是我來的目的！謝謝你！,2
r16300,postback,繼續幫忙,我想要繼續留在這裡解題，幫助 Mellow！,1
r16301,postback,趕快逃跑,這裡太危險了，我們還是趕快跑吧！,2
r17000,postback,驚嘆,這就是傳說中的人面獅身獸嗎？好壯觀！,1
r17001,postback,驚嚇,這是什麼！不要過來！Silas 救我！,2
r17002,postback,無言以對,……,1
r17003,postback,覺得荒謬,一隻貓，應該要有貓的樣子吧……,2
r17004,postback,提供協助,這樣吧，我有什麼可以幫你的，我們來進行等價交換。,1
r17005,postback,提出請求,Sphinx 大人，拜託你了，一定有什麼是我們可以做的！,2
r17100,postback,果斷拒絕,你就留在這邊慢慢玩吧！,1
r17101,postback,多鼓勵牠,加油！學好英文後，小花會更欣賞你的！,2
