chinese,english,part,part2,prefix,audio
陽台,balcony,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_32.mp3
烤肉,barbecue,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_33.mp3
美麗的,beautiful,adj,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_34.mp3
變成,become,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_35.mp3
開始,begin,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_36.mp3
相信,believe,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_37.mp3
屬於,belong,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_38.mp3
在…下方,below,prep,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_39.mp3
長椅,bench,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_40.mp3
在…之間,between,adv,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_41.mp3
毯子,blanket,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_42.mp3
瞎的,blind,adj,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_43.mp3
街區,block,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_44.mp3
吹,blow,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_45.mp3
煮沸,boil,v,n,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_46.mp3
感到厭煩的,bored,adj,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_47.mp3
無聊的,boring,adj,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_48.mp3
出生,born,adj,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_49.mp3
借入,borrow,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_50.mp3
兩者都,both,adj,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_51.mp3
瓶子,bottle,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_52.mp3
底部,bottom,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_53.mp3
打破,break,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_54.mp3
橋,bridge,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_55.mp3
明亮的,bright,adj,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_56.mp3
帶來,bring,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_57.mp3
建造,build,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_58.mp3
燃燒,burn,v,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_59.mp3
生意,business,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_60.mp3
仔細的,careful,adj,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_61.mp3
攜帶,carry,v,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_62.mp3
城堡,castle,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_63.mp3
趕上,catch,v,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_64.mp3
慶祝,celebrate,v,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_65.mp3
中心,center,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_66.mp3
公分,centimeter,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_67.mp3
機會,chance,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_68.mp3
"交換,零錢",change,v,n,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_69.mp3
便宜的,cheap,adj,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_70.mp3
欺騙,cheat,v,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_71.mp3
歡呼,cheer,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_72.mp3
"中國人,中文",Chinese,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_73.mp3
選擇,choose,v,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_74.mp3
筷子,chopsticks,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_75.mp3
爬,climb,v,n,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_76.mp3
衣服,clothes,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_77.mp3
收集,collect,v,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_78.mp3
舒適的,comfortable,adj,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_79.mp3
共同的,common,adj,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_80.mp3
方便的,convenient,adj,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_81.mp3
正確的,correct,adj,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_82.mp3
計算,count,v,n,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_83.mp3
課程,course,n,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_84.mp3
越過,cross,v,,c,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_85.mp3
危險的,dangerous,adj,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_86.mp3
女兒,daughter,n,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_87.mp3
死的,dead,adj,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_88.mp3
十二月,December,n,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_89.mp3
決定,decide,v,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_90.mp3
美味的,delicious,adj,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_91.mp3
百貨公司,department store,n,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_92.mp3
字典,dictionary,n,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_93.mp3
不同的,different,adj,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_94.mp3
困難的,difficult,adj,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_95.mp3
〈一〉打,dozen,n,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_96.mp3
在…期間,during,perp,,d,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_97.mp3
每一〈的〉,each,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_98.mp3
早的,early,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_99.mp3
東方,east,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_100.mp3
第八,eighth,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_101.mp3
也不,either,adv,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_102.mp3
小學,elementary school,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_103.mp3
第十一(的) ,eleventh,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_104.mp3
其他的,else,adv,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_105.mp3
工程師,engineer,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_106.mp3
足夠的,enough,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_107.mp3
信,envelope,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_108.mp3
前夕,eve,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_109.mp3
甚至,even,adv,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_110.mp3
曾經,ever,adv,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_111.mp3
例子,example,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_112.mp3
極好的,excellent,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_113.mp3
感到興奮的,excited,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_114.mp3
令人興奮的,exciting,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_115.mp3
原諒,excuse,v,n,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_116.mp3
運動,exercise,v,n,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_117.mp3
昂貴的,expensive,adj,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_118.mp3
經驗,experience,n,,e,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_119.mp3
工廠,factory,n,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_120.mp3
失敗,fail,v,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_121.mp3
有名的,famous,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_122.mp3
最喜愛的,favorite,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_123.mp3
二月,February,n,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_124.mp3
節慶,festival,n,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_125.mp3
第十五(的),fifteenth,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_126.mp3
第五(的) ,fifth,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_127.mp3
最後,finally,adv,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_128.mp3
第一(的) ,first,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_129.mp3
"遵循,跟隨 ",follow,v,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_130.mp3
外國的,foreign,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_131.mp3
外國人,foreigner,n,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_132.mp3
忘記,forget,v,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_133.mp3
第十四(的) ,fourteenth,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_134.mp3
第四(的) ,fourth,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_135.mp3
新鮮的,fresh,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_136.mp3
友善的,friendly,adj,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_137.mp3
未來,future,n,,f,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_138.mp3
垃圾,garbage,n,,g,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_139.mp3
鬼,ghost,n,,g,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_140.mp3
"巨大的,巨人",giant,adj,,g,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_141.mp3
高興的,glad,adj,,g,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_142.mp3
地面,ground,n,,g,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_143.mp3
一半,half,n,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_144.mp3
懸掛,hang,v,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_145.mp3
發生,happen,v,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_146.mp3
努力工作的,hard-working,adj,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_147.mp3
頭痛,headache,n,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_148.mp3
健康,health,n,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_149.mp3
健康的,healthy,adj,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_150.mp3
有幫助的,helpful,adj,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_151.mp3
歷史,history,n,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_152.mp3
拿著,hold,v,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_153.mp3
假日,holiday,n,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_154.mp3
誠實的,honest,adj,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_155.mp3
然而,however,conj,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_156.mp3
打獵,hunt,v,n,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_157.mp3
丈夫,husband,n,,h,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_158.mp3
重要的,important,adj,,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_159.mp3
使…感興趣,interest,v,,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_160.mp3
感興趣的,interested,adj,,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_161.mp3
有趣的,interesting,adj,,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_162.mp3
網路,Internet,n,,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_163.mp3
"訪問,面試",interview,v,n,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_164.mp3
邀請,invite,v,,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_165.mp3
島嶼,island,n,,i,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_166.mp3
一月,January,n,,j,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_167.mp3
國中,junior high school,n,,j,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_168.mp3
公斤,kilo(gram),n,,k,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_169.mp3
知識,knowledge,n,,k,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_170.mp3
語言,language,n,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_171.mp3
燈籠,lantern,n,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_172.mp3
大的,large,adj,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_173.mp3
笑,laugh,v,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_174.mp3
最少〈的〉,least,adj,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_175.mp3
課,lesson,n,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_176.mp3
寂寞的,lonely,adj,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_177.mp3
可愛的,lovely,adj,,l,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_178.mp3
機器,machine,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_179.mp3
三月,March,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_180.mp3
已婚的,married,adj,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_181.mp3
事情,matter,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_182.mp3
五月,May,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_183.mp3
藥,medicine,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_184.mp3
中號〈的〉,L2,a,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_185.mp3
"英里,哩 ",mile,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_186.mp3
百萬,million,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_187.mp3
錯誤,mistake,v,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_188.mp3
現代化的,modern,adj,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_189.mp3
片刻,moment,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_190.mp3
機車,motorcycle,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_191.mp3
山,mountain,adj,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_192.mp3
博物館,museum,n,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_193.mp3
必須,must,aux,,m,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_194.mp3
國家的,national,adj,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_195.mp3
鄰居,neighbor,n,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_196.mp3
第十九,nineteenth,n,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_197.mp3
噪音,noise,n,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_198.mp3
北方,north,n,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_199.mp3
"沒東西,沒事",nothing,n,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_200.mp3
注意到,notice,v,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_201.mp3
十一月,November,n,,n,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_202.mp3
十月,October,n,,o,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_203.mp3
時常,often,adv,,o,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_204.mp3
一次,once,adv,n,o,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_205.mp3
"點餐,秩序 ",order,v,n,o,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_206.mp3
其他的,other,adj,,o,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_207.mp3
自己的,own,adj,,o,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_208.mp3
包裹,package,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_209.mp3
體育,PE(physical education),n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_210.mp3
或許,perhaps,adv,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_211.mp3
片,piece,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_212.mp3
地方,place,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_213.mp3
"樂趣,使高興",pleasure,v,n,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_214.mp3
有禮貌的,polite,adj,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_215.mp3
可能的,possible,adj,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_216.mp3
磅,pound,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_217.mp3
練習,practice,v,n,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_218.mp3
準備,prepare,v,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_219.mp3
價格,price,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_220.mp3
公主,princess,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_221.mp3
問題,problem,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_222.mp3
節目,program,n,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_223.mp3
驕傲的,proud,adj,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_224.mp3
"公立的,公眾的",public,adj,,p,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_225.mp3
"15分鐘,1/4",quarter,n,,q,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_226.mp3
相當,quite,adv,,q,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_227.mp3
錄音機,recorder,n,,r,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_228.mp3
冰箱,refrigerator,n,,r,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_229.mp3
記得,remember,v,,r,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_230.mp3
神聖的,sacred,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_231.mp3
第二(的),second,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_232.mp3
秘書,secretary,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_233.mp3
很少,seldom,adv,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_234.mp3
高中,senior high school,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_235.mp3
九月,September,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_236.mp3
嚴重的,serious,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_237.mp3
第十七(的),seventeenth,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_238.mp3
第七(的),seventh,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_239.mp3
幾個的,several,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_240.mp3
"將會,好嗎? ",shall,aux,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_241.mp3
應該,should,aux,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_242.mp3
自從,since,prep,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_243.mp3
第十六〈的〉,sixteenth,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_244.mp3
第六〈的〉,sixth,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_245.mp3
南方,south,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_246.mp3
義大利麵,spaghetti,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_247.mp3
特別的,special,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_248.mp3
仍然,still,adv,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_249.mp3
胃,stomach,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_250.mp3
直的,straight,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_251.mp3
陌生人,stranger,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_252.mp3
科目,subject,n,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_253.mp3
成功的,successful,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_254.mp3
使…驚訝,surprise,v,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_255.mp3
感到驚訝的,surprised,adj,,s,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_256.mp3
第十〈的〉,tenth,adj,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_257.mp3
